id,amount,date,country,client_fio,account_number,status,transaction_status
60001,149569.23,2024-11-02 09:32:30,Португалия,Копылов Варфоломей Валентинович,407021751784656084,Низкий риск,высокий риск
60002,20884.80,2024-08-26 14:20:39,Буркина-Фасо,Князева Иосиф Альбертовна,407029955085444245,Серый список FATF (риск),высокий риск
60003,237826.21,2024-06-22 04:23:38,Бахрейн,Турова Вадим Данилович,407022490565821805,Низкий риск,высокий риск
60004,238842.21,2025-02-07 13:09:54,Руанда,Молчанова Орест Афанасьевич,407027011438863131,Низкий риск,высокий риск
60005,226553.09,2024-06-25 19:19:51,ЮАР,Филиппов Антонина Анатольевна,407022163828264858,Серый список FATF (риск),высокий риск
60006,226679.41,2024-09-07 03:16:26,Эфиопия,Власов Прокофий Демьянович,407020440552063870,Низкий риск,высокий риск
60007,145274.72,2024-10-05 09:30:43,США,Щербаков Бажен Федоровна,407027071950740306,Низкий риск,высокий риск
60008,91789.23,2024-10-18 10:07:53,Новая Зеландия,Герасимова Азарий Борисович,407023871409972991,Низкий риск,высокий риск
60009,123300.57,2025-01-09 19:27:36,Сингапур,Лихачев Виктория Архиповна,407025480493393751,Офшор (риск),высокий риск
60010,184049.30,2024-12-01 12:16:48,Южная Корея,Копылов Варфоломей Валентинович,407021751784656084,Низкий риск,высокий риск
60011,46441.60,2024-12-02 13:06:58,Сингапур,Потапова Захар Львовна,407029928036946620,Офшор (риск),высокий риск
60012,129927.73,2024-10-19 05:31:35,Судан,Савельева Остромир Ермолаевич,407022851704819711,Санкционная (высокий риск),высокий риск
60013,54592.41,2024-11-14 22:51:17,Маврикий,Бурова Андрон Филимонович,407029159343950331,Офшор (риск),высокий риск
60014,55352.82,2025-03-02 01:58:24,Норвегия,Ефремов Татьяна Гавриилович,407027382855792179,Низкий риск,высокий риск
60015,249048.39,2024-08-31 14:39:46,Нигерия,Рогова Феофан Фролович,407021538735222408,Серый список FATF (риск),высокий риск
60016,38307.50,2024-09-07 19:53:34,Уганда,Тарасов Станимир Антонович,407024070881143104,Серый список FATF (риск),высокий риск
60017,281758.99,2024-06-10 04:07:46,Мьянма,Терентьева Эмилия Олеговна,407023642338578419,Черный список FATF (высокий риск),высокий риск
