id,Amount,Date,Country,Client_FIO,Account_Number
1,149569.23 RUB,2024-11-02 09:32:30,Португалия,Копылов Варфоломей Валентинович,407021751784656084
2,20884.8 RUB,2024-08-26 14:20:39,Буркина-Фасо,Князева Иосиф Альбертовна,407029955085444245
3,237826.21 RUB,2024-06-22 04:23:38,Бахрейн,Турова Вадим Данилович,407022490565821805
4,238842.21 RUB,2025-02-07 13:09:54,Руанда,Молчанова Орест Афанасьевич,407027011438863131
5,226553.09 RUB,2024-06-25 19:19:51,ЮАР,Филиппов Антонина Анатольевна,407022163828264858
6,226679.41 RUB,2024-09-07 03:16:26,Эфиопия,Власов Прокофий Демьянович,407020440552063870
7,145274.72 RUB,2024-10-05 09:30:43,США,Щербаков Бажен Федоровна,407027071950740306
8,91789.23 RUB,2024-10-18 10:07:53,Новая Зеландия,Герасимова Азарий Борисович,407023871409972991
9,123300.57 RUB,2025-01-09 19:27:36,Сингапур,Лихачев Виктория Архиповна,407025480493393751
10,184049.3 RUB,2024-12-01 12:16:48,Южная Корея,Копылов Варфоломей Валентинович,407021751784656084
11,46441.6 RUB,2024-12-02 13:06:58,Сингапур,Потапова Захар Львовна,407029928036946620
12,129927.73 RUB,2024-10-19 05:31:35,Судан,Савельева Остромир Ермолаевич,407022851704819711
13,54592.41 RUB,2024-11-14 22:51:17,Маврикий,Бурова Андрон Филимонович,407029159343950331
14,55352.82 RUB,2025-03-02 01:58:24,Норвегия,Ефремов Татьяна Гавриилович,407027382855792179
15,249048.39 RUB,2024-08-31 14:39:46,Нигерия,Рогова Феофан Фролович,407021538735222408
16,38307.5 RUB,2024-09-07 19:53:34,Уганда,Тарасов Станимир Антонович,407024070881143104
17,281758.99 RUB,2024-06-10 04:07:46,Мьянма,Терентьева Эмилия Олеговна,407023642338578419
18,151832.05 RUB,2024-07-27 01:39:07,Уганда,Михеев Григорий Тимуровна,407029104046089535
19,262022.85 RUB,2025-03-29 09:10:20,Габон,Галкина Фотий Тимуровна,407020500619220023
20,9432.14 RUB,2024-08-10 04:44:31,Индия,Лихачева Адриан Евгеньевна,407023221026097082
21,133916.23 RUB,2024-07-05 18:22:35,Италия,Михайлов Ермолай Оскаровна,407020986151040912
22,264493.09 RUB,2025-05-31 21:44:40,Египет,Яковлева Евфросиния Аверьянович,407022165925789005
23,217233.49 RUB,2025-04-19 13:29:09,Гондурас,Лаврентьева Митофан Владимировна,407021197300443094
24,105906.74 RUB,2025-03-08 05:48:17,Таджикистан,Князева Иосиф Альбертовна,407029955085444245
25,96684.41 RUB,2024-11-27 23:39:03,Таиланд,Дорофеева Евгения Даниловна,407022943802337773
26,70908.68 RUB,2025-05-16 14:07:29,Индонезия,Журавлев Таисия Анатольевна,407027032200835920
27,207314.58 RUB,2025-01-13 13:50:49,Кипр,Сазонов Глафира Харитоновна,407028897435217629
28,108271.38 RUB,2024-06-29 13:49:52,Чад,Турова Леон Александрович,407026579325266148
29,156806.11 RUB,2024-09-07 10:19:39,Индия,Молчанова Орест Афанасьевич,407027011438863131
30,17759.71 RUB,2025-05-02 17:10:56,США,Зайцева Ираклий Зиновьевич,407022548496226115
31,77545.36 RUB,2025-03-17 06:36:22,Грузия,Копылова Зосима Ефимович,407028622344292159
32,16757.67 RUB,2024-11-24 16:11:05,Никарагуа,Воронцов Александра Марсович,407024975051720717
33,216620.46 RUB,2025-02-08 05:15:03,Исландия,Журавлева Бажен Тимуровна,407021312206113808
34,182831.69 RUB,2024-08-02 09:46:56,Алжир,Зайцева Ираклий Зиновьевич,407022548496226115
35,31824.34 RUB,2025-01-16 18:28:19,Саудовская Аравия,Иванова Эраст Харитонович,407022667374044683
36,1457.14 RUB,2024-08-15 18:13:08,Малайзия,Сазонов Глафира Харитоновна,407028897435217629
37,192155.15 RUB,2025-01-27 02:12:02,Сингапур,Панфилов Вениамин Станиславовна,407023424917518868
38,2323.24 RUB,2024-10-25 13:49:30,Кения,Ефремов Татьяна Гавриилович,407027382855792179
39,201825.75 RUB,2025-01-10 02:35:51,ЮАР,Кононов Мечислав Тарасовна,407020933108062598
40,128838.88 RUB,2025-02-14 15:55:06,Алжир,Михеев Григорий Тимуровна,407029104046089535
41,236272.06 RUB,2024-06-21 07:20:26,Люксембург,Копылов Варфоломей Валентинович,407021751784656084
42,265773.43 RUB,2024-12-10 22:49:36,Судан,Рогова Ипполит Богдановна,407024521165925159
43,51293.39 RUB,2024-11-22 05:31:09,Черногория,Герасимова Азарий Борисович,407023871409972991
44,268199.3 RUB,2025-05-09 13:41:31,Пакистан,Копылова Антонина Анисимович,407025521633128502
45,261449.08 RUB,2024-12-13 13:16:09,Польша,Суханов Эраст Ефимовна,407026057625076240
46,245502.32 RUB,2024-07-17 13:53:23,Норвегия,Рогова Ипполит Богдановна,407024521165925159
47,87646.25 RUB,2024-11-28 10:12:27,Непал,Григорьев Сидор Валерьянович,407021422101636308
48,177633.95 RUB,2025-05-05 05:06:37,Словения,Воронцов Александра Марсович,407024975051720717
49,142251.36 RUB,2024-07-09 21:33:09,Судан,Савельева Остромир Ермолаевич,407022851704819711
50,95729.04 RUB,2025-04-25 04:16:47,Хорватия,Воронцов Александра Марсович,407024975051720717
51,58438.77 RUB,2025-01-28 17:35:23,Бурунди,Князев Никодим Ниловна,407022241940342207
52,68268.57 RUB,2024-07-14 00:03:25,Нидерланды,Журавлев Таисия Анатольевна,407027032200835920
53,181323.14 RUB,2024-10-13 11:30:36,Финляндия,Рогова Ипполит Богдановна,407024521165925159
54,61374.67 RUB,2025-03-14 16:26:33,Вьетнам,Гришин Куприян Трофимович,407020929029803383
55,143152.27 RUB,2024-12-09 01:38:26,Ангола,Савина Флорентин Адрианович,407023424408906955
56,170292.38 RUB,2024-12-14 13:10:24,Ливия,Мамонтов Казимир Димитриевич,407022463806952389
57,258100.38 RUB,2025-04-04 09:56:31,Филиппины,Мишин Кир Витальевич,407022433722473948
58,35797.91 RUB,2024-12-06 03:15:31,Хорватия,Макаров Авксентий Виленович,407027805350048022
59,187289.17 RUB,2025-03-08 18:53:42,Нигерия,Попов Глеб Валентиновна,407023333752568116
60,134372.46 RUB,2025-01-30 10:33:52,Румыния,Хохлова Евфросиния Егорович,407022921912713131
61,203347.02 RUB,2024-12-13 06:19:12,Колумбия,Лазарева Севастьян Арсенович,407029505838984306
62,251590.1 RUB,2024-12-10 04:04:08,Бельгия,Филиппов Антонина Анатольевна,407022163828264858
63,265409.28 RUB,2024-11-20 15:31:43,Сенегал,Воронцов Александра Марсович,407024975051720717
64,73505.93 RUB,2025-02-13 01:30:50,Ливия,Суханов Эраст Ефимовна,407026057625076240
65,81353.91 RUB,2024-06-07 02:19:35,Киргизия,Семенов Боян Станиславовна,407024771193433353
66,242270.91 RUB,2024-10-09 06:19:56,Уругвай,Михеев Григорий Тимуровна,407029104046089535
67,299300.38 RUB,2024-06-15 06:50:38,Узбекистан,Красильникова Афиноген Алексеевич,407022004262198905
68,218722.96 RUB,2024-11-27 15:46:39,Гвинея,Фролова Фома Феодосьевич,407025839175829766
69,166208.33 RUB,2025-05-13 23:50:53,Сербия,Суханов Эраст Ефимовна,407026057625076240
70,127744.47 RUB,2024-11-15 19:15:33,Румыния,Копылов Варфоломей Валентинович,407021751784656084
71,66069.13 RUB,2025-05-15 00:32:19,Литва,Бирюкова Синклитикия Афанасьевна,407029114357208580
72,264698.3 RUB,2024-09-21 12:41:55,Саудовская Аравия,Михеев Григорий Тимуровна,407029104046089535
73,46681.72 RUB,2024-11-04 13:21:09,Норвегия,Пономарев Алевтина Тарасович,407027876927717238
74,256561.6 RUB,2024-07-14 20:24:50,Бенин,Устинов Анастасия Львовна,407020067821431385
75,238315.96 RUB,2025-04-25 18:48:31,Япония,Воронов Никодим Артемовна,407025481793962991
76,88011.61 RUB,2024-06-20 23:56:36,Камерун,Воробьева Модест Викторовна,407023234711946109
77,284521.99 RUB,2025-02-28 17:05:35,Шри-Ланка,Галкина Фотий Тимуровна,407020500619220023
78,75948.05 RUB,2024-11-22 05:48:43,Колумбия,Лихачев Виктория Архиповна,407025480493393751
79,128886.06 RUB,2024-06-15 06:00:34,Чад,Мишин Кир Витальевич,407022433722473948
80,107013.92 RUB,2024-11-20 07:43:00,Джибути,Гуляева Федот Виленович,407020848495211917
81,248842.53 RUB,2025-04-20 09:19:21,Беларусь,Кононова Давыд Денисович,407029896933648536
82,157968.36 RUB,2025-04-17 12:41:11,Словения,Данилов Харитон Анисимович,407021911450758375
83,162268.62 RUB,2024-11-03 23:25:30,Кувейт,Устинов Анастасия Львовна,407020067821431385
84,263608.8 RUB,2025-02-26 17:12:42,Куба,Лыткин Елисей Александровна,407029663363923667
85,123624.86 RUB,2024-11-25 17:16:05,Афганистан,Бирюкова Синклитикия Афанасьевна,407029114357208580
86,282135.62 RUB,2024-12-26 17:26:37,Гватемала,Терентьева Эмилия Олеговна,407023642338578419
87,27676.46 RUB,2024-12-14 03:30:18,Уругвай,Никитин Остап Эдуардовна,407025210832475327
88,23479.2 RUB,2024-10-31 23:56:46,Филиппины,Котов Кондрат Ерофеевич,407023795449503350
89,151582.61 RUB,2024-06-12 04:44:17,Швеция,Хохлова Евфросиния Егорович,407022921912713131
90,63369.09 RUB,2025-05-28 15:06:24,Канада,Морозов Дмитрий Иосифович,407020131473225662
91,190939.56 RUB,2024-10-09 06:42:23,Израиль,Морозов Дмитрий Иосифович,407020131473225662
92,45343.61 RUB,2025-05-24 05:11:47,Иран,Яковлев Панфил Тимофеевна,407023253184640696
93,236121.04 RUB,2024-10-17 16:42:47,Китай,Ширяева Капитон Кузьминична,407020338023134503
94,191162.93 RUB,2024-08-20 05:14:56,Кипр,Федотов Автоном Борисович,407023319234962651
95,295512.14 RUB,2024-12-03 22:07:55,Дания,Рогова Ипполит Богдановна,407024521165925159
96,190134.88 RUB,2025-04-20 22:50:12,Италия,Галкин Лора Викторовна,407024645732982407
97,110530.34 RUB,2024-12-07 03:48:56,Лаос,Копылов Варфоломей Валентинович,407021751784656084
98,196448.78 RUB,2025-02-18 15:03:07,Уганда,Мамонтов Казимир Димитриевич,407022463806952389
99,49719.94 RUB,2024-12-12 19:46:13,Черногория,Чернова Тамара Робертовна,407022491000847007
100,262202.75 RUB,2025-03-28 23:33:52,Индонезия,Потапова Захар Львовна,407029928036946620
101,64675.29 RUB,2025-01-21 16:09:10,Япония,Сазонов Глафира Харитоновна,407028897435217629
102,113500.41 RUB,2025-02-25 11:01:25,Новая Зеландия,Мельникова Иларион Владленович,407023390744506589
103,281344.47 RUB,2024-09-08 08:17:04,Куба,Мельникова Иларион Владленович,407023390744506589
104,216194.37 RUB,2025-05-03 17:30:06,Индия,Яковлева Евфросиния Аверьянович,407022165925789005
105,210839.2 RUB,2024-06-24 07:31:18,Норвегия,Терентьева Эмилия Олеговна,407023642338578419
106,91445.09 RUB,2024-07-07 03:52:33,Бурунди,Кононова Давыд Денисович,407029896933648536
107,54170.81 RUB,2024-12-20 03:46:46,Сенегал,Фролова Фома Феодосьевич,407025839175829766
108,145183.9 RUB,2024-08-27 01:47:34,Бельгия,Кудрявцева Агата Степановна,407022693681622964
109,145855.27 RUB,2025-01-31 20:26:20,Сенегал,Воронцов Александра Марсович,407024975051720717
110,20430.25 RUB,2024-08-08 06:38:52,ЮАР,Копылов Варфоломей Валентинович,407021751784656084
111,116075.62 RUB,2024-11-18 12:17:49,Франция,Дмитриев Ермолай Федоровна,407028773741004260
112,145161.77 RUB,2024-07-14 11:51:30,Малайзия,Мельникова Иларион Владленович,407023390744506589
